date,service,departure_station,arrival_station,avg_journey_duration,nb_planned_trains,nb_cancelled_trains,nb_late_trains_departure,avg_delay_late_trains_departure,avg_delay_all_trains_departure,nb_late_trains_arrival,avg_delay_late_trains_arrival,avg_delay_all_trains_arrival,nb_trains_late_over_15min,avg_delay_trains_late_over_15min,nb_trains_late_over_30min,nb_trains_late_over_60min,pct_delay_external_causes,pct_delay_infrastructure,pct_delay_traffic_management,pct_delay_rolling_stock,pct_delay_station_management,Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2019-06,National,PARIS LYON,MULHOUSE VILLE,168,300,0,93,9.89874552,2.798333333,46,37.23550725,6.372833333,34,45.99558824,19.0,7.0,23.91304348,17.39130435,26.08695652,30.43478261,2.173913043,0.0,0.0,0.0
2019-07,National,PARIS LYON,MULHOUSE VILLE,168,307,0,112,6.053571429,1.961292074,41,30.77235772,4.830076004,32,36.665625,13.0,6.0,9.756097561,21.95121951,21.95121951,31.70731707,14.63414634,0.0,0.0,0.0
2019-07,National,BELLEGARDE (AIN),PARIS LYON,162,227,8,208,6.537740385,6.072907154,29,21.0137931,4.668493151,19,41.56944444,8.0,2.0,27.5862069,31.03448276,31.03448276,3.448275862,0.0,6.896551724,0.0,0.0
2019-07,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,191,254,133,93,4.826523297,3.637052342,16,31.61979167,4.890633609,13,34.61547619,7.0,1.0,26.66666667,13.33333333,40.0,6.666666667,6.666666667,6.666666667,0.0,0.0
2019-07,National,DIJON VILLE,PARIS LYON,98,441,0,379,4.654441513,3.982123961,42,33.73849206,2.927739985,32,40.69583333,13.0,7.0,9.523809524,26.19047619,38.0952381,14.28571429,4.761904762,7.142857143,0.0,0.0
2019-08,National,PARIS EST,STRASBOURG,116,529,15,372,5.167831541,3.674448768,20,28.65166667,1.414883268,18,35.68229167,5.0,2.0,10.0,45.0,15.0,25.0,5.0,0.0,0.0,0.0
2019-08,National,DIJON VILLE,PARIS LYON,98,400,5,321,4.73317757,3.814978903,32,41.07135417,2.443544304,22,53.66212121,14.0,7.0,31.25,15.625,28.125,18.75,6.25,0.0,0.0,0.0
2019-08,National,PARIS LYON,MULHOUSE VILLE,168,263,0,92,6.364311594,1.930291508,25,31.89266667,3.509442332,20,36.59833333,11.0,1.0,4.0,20.0,16.0,44.0,8.0,8.0,0.0,0.0
2019-08,National,BELLEGARDE (AIN),PARIS LYON,161,187,0,182,5.511813187,5.354188948,20,27.23833333,3.098752228,15,32.10333333,6.0,1.0,5.0,10.0,55.0,15.0,5.0,10.0,0.0,0.0
2019-08,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,189,156,5,122,11.01448087,8.83200883,34,32.48970588,8.679690949,32,33.72239583,8.0,3.0,23.52941176,17.64705882,44.11764706,8.823529412,5.882352941,0.0,0.0,0.0
2019-09,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,189,151,1,125,9.0376,7.466777778,39,28.59444444,9.844,34,31.11617647,11.0,1.0,30.76923077,30.76923077,30.76923077,0.0,2.564102564,5.128205128,0.0,0.0
2019-09,National,PARIS EST,STRASBOURG,116,515,5,374,4.320543672,3.107385621,35,31.54857143,2.717875817,28,36.36666667,13.0,4.0,28.57142857,20.0,17.14285714,22.85714286,5.714285714,5.714285714,0.0,0.0
2019-09,National,PARIS LYON,MULHOUSE VILLE,168,294,1,95,3.985789474,1.0278157,32,42.10520833,5.23589306,22,55.44469697,10.0,2.0,25.0,0.0,18.75,43.75,12.5,0.0,0.0,0.0
2019-09,National,BELLEGARDE (AIN),PARIS LYON,163,220,1,212,4.454716981,4.30456621,30,26.16833333,4.763394216,19,34.55614035,11.0,0.0,33.33333333,23.33333333,23.33333333,6.666666667,6.666666667,6.666666667,0.0,0.0
2019-09,National,DIJON VILLE,PARIS LYON,99,408,0,345,4.886811594,4.109068627,46,28.60036232,4.466584967,31,36.42150538,14.0,4.0,15.55555556,37.77777778,31.11111111,6.666666667,4.444444444,4.444444444,0.0,0.0
2019-10,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,190,148,2,121,9.640633609,7.952853881,44,25.725,9.279109589,40,26.83666667,12.0,0.0,20.45454545,11.36363636,61.36363636,4.545454545,2.272727273,0.0,0.0,0.0
2019-10,National,DIJON VILLE,PARIS LYON,98,418,5,373,4.852323503,4.368280872,46,27.2442029,4.518401937,34,37.30959596,15.0,6.0,18.60465116,23.25581395,34.88372093,11.62790698,6.976744186,4.651162791,0.0,0.0
2019-10,National,PARIS LYON,MULHOUSE VILLE,168,296,4,100,6.0845,1.793550228,31,33.5155914,4.289840183,24,39.82708333,9.0,5.0,19.35483871,25.80645161,22.58064516,16.12903226,16.12903226,0.0,0.0,0.0
2019-10,National,BELLEGARDE (AIN),PARIS LYON,162,225,4,211,4.931753555,4.699321267,23,23.0884058,3.309577677,14,29.83809524,5.0,1.0,18.18181818,9.090909091,54.54545455,13.63636364,4.545454545,0.0,0.0,0.0
2019-10,National,PARIS EST,STRASBOURG,115,534,7,384,5.615364583,4.031688805,49,27.52278912,2.991967109,36,33.27731481,17.0,3.0,23.91304348,19.56521739,19.56521739,26.08695652,10.86956522,0.0,0.0,0.0
2019-11,National,PARIS EST,STRASBOURG,115,525,10,361,3.389981533,2.310032362,53,28.17924528,3.464822006,38,34.21282051,14.0,4.0,23.07692308,26.92307692,7.692307692,28.84615385,9.615384615,3.846153846,0.0,0.0
2019-11,National,PARIS LYON,MULHOUSE VILLE,167,305,3,90,8.209074074,2.165728477,29,44.04022989,5.329470199,24,50.87083333,19.0,7.0,10.34482759,31.03448276,13.79310345,37.93103448,6.896551724,0.0,0.0,0.0
2019-11,National,BELLEGARDE (AIN),PARIS LYON,162,221,3,204,5.391013072,5.031039755,29,25.08908046,3.748012232,16,35.446875,5.0,2.0,13.79310345,13.79310345,51.72413793,13.79310345,0.0,6.896551724,0.0,0.0
