date,temp_mean,precip_sum,wind_max,station
2020-03,7.28,93.4,19.8,BELLEGARDE (AIN)
2020-04,13.77,71.8,17.1,BELLEGARDE (AIN)
2020-05,15.87,105.7,17.43,BELLEGARDE (AIN)
2020-06,17.71,138.2,16.17,BELLEGARDE (AIN)
2020-07,21.51,48.7,16.56,BELLEGARDE (AIN)
2020-08,21.3,88.2,15.63,BELLEGARDE (AIN)
2020-09,17.85,126.8,20.12,BELLEGARDE (AIN)
2020-10,10.53,208.2,20.83,BELLEGARDE (AIN)
2020-11,7.25,35.0,14.33,BELLEGARDE (AIN)
2020-12,3.58,194.3,15.84,BELLEGARDE (AIN)
2021-01,2.26,227.5,15.39,BELLEGARDE (AIN)
2021-02,6.42,59.4,18.63,BELLEGARDE (AIN)
2021-03,7.34,79.0,21.25,BELLEGARDE (AIN)
2021-04,9.2,94.7,19.86,BELLEGARDE (AIN)
2021-05,12.39,193.8,16.7,BELLEGARDE (AIN)
2021-06,19.72,149.8,13.63,BELLEGARDE (AIN)
2021-07,19.47,243.6,19.11,BELLEGARDE (AIN)
2021-08,18.84,80.1,16.7,BELLEGARDE (AIN)
2021-09,17.84,71.8,12.5,BELLEGARDE (AIN)
2021-10,11.09,137.8,19.97,BELLEGARDE (AIN)
2021-11,5.41,68.2,15.5,BELLEGARDE (AIN)
2021-12,3.36,207.6,14.06,BELLEGARDE (AIN)
2022-01,2.75,66.3,18.58,BELLEGARDE (AIN)
2022-02,5.2,95.6,16.77,BELLEGARDE (AIN)
2022-03,8.36,44.3,16.32,BELLEGARDE (AIN)
2022-04,10.76,100.9,18.16,BELLEGARDE (AIN)
2022-05,17.76,53.1,20.87,BELLEGARDE (AIN)
2022-06,20.95,133.3,16.06,BELLEGARDE (AIN)
2022-07,23.78,37.8,16.42,BELLEGARDE (AIN)
2022-08,22.61,65.7,18.0,BELLEGARDE (AIN)
2022-09,15.76,166.4,16.18,BELLEGARDE (AIN)
2022-10,15.62,108.1,11.53,BELLEGARDE (AIN)
2022-11,8.28,173.0,13.0,BELLEGARDE (AIN)
2022-12,5.1,161.1,12.48,BELLEGARDE (AIN)
2023-01,2.94,117.9,23.47,BELLEGARDE (AIN)
2023-02,4.71,13.2,30.31,BELLEGARDE (AIN)
2023-03,8.27,167.7,17.58,BELLEGARDE (AIN)
2023-04,9.77,128.5,16.87,BELLEGARDE (AIN)
2023-05,15.06,114.0,25.26,BELLEGARDE (AIN)
2023-06,20.59,122.5,16.18,BELLEGARDE (AIN)
2023-07,21.93,97.4,20.47,BELLEGARDE (AIN)
2023-08,22.56,60.7,26.23,BELLEGARDE (AIN)
2023-09,19.87,114.6,17.15,BELLEGARDE (AIN)
2023-10,14.6,252.4,18.68,BELLEGARDE (AIN)
2023-11,6.86,255.1,19.88,BELLEGARDE (AIN)
2023-12,4.83,192.2,16.09,BELLEGARDE (AIN)
2024-01,3.94,125.9,19.24,BELLEGARDE (AIN)
2024-02,7.27,115.4,20.88,BELLEGARDE (AIN)
2024-03,8.81,113.1,19.17,BELLEGARDE (AIN)
2024-04,10.71,85.6,22.49,BELLEGARDE (AIN)
2024-05,14.21,227.7,17.65,BELLEGARDE (AIN)
2024-06,18.65,154.4,18.08,BELLEGARDE (AIN)
2024-07,21.48,138.1,17.87,BELLEGARDE (AIN)
2024-08,22.41,48.8,16.36,BELLEGARDE (AIN)
2024-09,15.02,202.1,25.21,BELLEGARDE (AIN)
2024-10,13.49,133.0,22.37,BELLEGARDE (AIN)
2024-11,7.45,80.5,23.0,BELLEGARDE (AIN)
2024-12,3.2,130.9,21.58,BELLEGARDE (AIN)
2025-01,3.69,195.6,21.43,BELLEGARDE (AIN)
2025-02,4.86,58.6,19.55,BELLEGARDE (AIN)
2025-03,7.98,72.6,19.65,BELLEGARDE (AIN)
2025-04,12.15,124.1,16.48,BELLEGARDE (AIN)
2025-05,14.59,129.6,18.69,BELLEGARDE (AIN)
2025-06,21.91,120.8,16.92,BELLEGARDE (AIN)
2025-07,20.09,123.8,18.28,BELLEGARDE (AIN)
2025-08,21.56,111.1,17.43,BELLEGARDE (AIN)
2025-09,15.44,120.6,15.44,BELLEGARDE (AIN)
2025-10,11.14,166.8,21.67,BELLEGARDE (AIN)
2025-11,5.93,170.7,16.92,BELLEGARDE (AIN)
2025-12,4.26,47.3,24.22,BELLEGARDE (AIN)
2026-01,2.44,130.8,14.89,BELLEGARDE (AIN)
2026-02,6.65,191.1,20.12,BELLEGARDE (AIN)
2026-03,7.08,81.6,25.38,BELLEGARDE (AIN)
2026-04,13.84,41.1,18.58,BELLEGARDE (AIN)
2026-05,15.84,147.8,16.3,BELLEGARDE (AIN)
2026-06,22.48,63.1,18.56,BELLEGARDE (AIN)
2017-12,6.25,8.4,35.3,DIJON VILLE
2018-01,5.96,167.0,39.81,DIJON VILLE
2018-02,0.21,59.2,30.85,DIJON VILLE
2018-03,5.51,118.4,31.35,DIJON VILLE
2018-04,12.57,66.2,33.93,DIJON VILLE
2018-05,15.84,64.8,26.76,DIJON VILLE
2018-06,19.08,40.6,28.92,DIJON VILLE
2018-07,22.58,55.3,22.18,DIJON VILLE
2018-08,21.55,20.1,33.63,DIJON VILLE
2018-09,17.78,14.8,35.14,DIJON VILLE
2018-10,12.77,43.6,30.06,DIJON VILLE
2018-11,6.9,79.8,29.89,DIJON VILLE
2018-12,4.72,98.9,35.94,DIJON VILLE
2019-01,1.56,56.5,32.83,DIJON VILLE
2019-02,5.06,18.8,38.2,DIJON VILLE
2019-03,7.97,48.7,42.27,DIJON VILLE
2019-04,9.67,96.4,44.64,DIJON VILLE
2019-05,12.27,44.3,31.15,DIJON VILLE
2019-06,20.39,73.9,36.06,DIJON VILLE
2019-07,22.74,25.6,24.7,DIJON VILLE
2019-08,20.98,45.2,22.7,DIJON VILLE
2019-09,16.89,50.7,30.81,DIJON VILLE
2019-10,12.8,106.7,27.15,DIJON VILLE
2019-11,6.08,93.5,26.25,DIJON VILLE
2019-12,5.16,100.3,42.32,DIJON VILLE
2020-01,4.13,35.9,31.22,DIJON VILLE
2020-02,6.41,83.0,40.94,DIJON VILLE
2020-03,7.08,55.7,30.46,DIJON VILLE
2020-04,14.05,26.4,29.96,DIJON VILLE
2020-05,15.41,83.7,26.63,DIJON VILLE
2020-06,17.62,80.5,26.87,DIJON VILLE
2020-07,21.8,9.5,23.04,DIJON VILLE
2020-08,21.41,77.5,20.43,DIJON VILLE
